state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
6653,562,-8182,-514,60,-51,-171,2477,11,1,-14,0,19855,79,39,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,1669,0
6658,462,-8148,-512,55,-60,-178,2479,13,5,-16,0,19856,62,39,144,0,0,0,0,0,0,0,0,-32277,0,0,0,0,0,6658,0
6663,502,-8174,-528,54,-75,-167,2480,9,1,-14,0,19856,62,39,144,0,0,0,0,0,0,0,0,-32277,0,0,0,0,0,6663,0
6668,592,-8210,-522,51,-76,-139,2481,1,0,-17,0,19858,56,40,144,0,0,0,0,0,0,0,0,-32277,0,0,0,0,0,6668,0
6673,646,-8204,-462,50,-73,-117,2483,7,0,-17,0,19858,56,40,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6673,0
6678,674,-8258,-470,47,-81,-107,2484,5,3,-18,0,19859,60,40,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6678,0
6683,678,-8240,-402,36,-75,-99,2487,11,-1,-23,0,19859,60,40,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6683,0
6688,844,-8190,-378,35,-87,-81,2489,12,2,-27,0,19856,76,40,144,0,0,0,0,0,0,0,0,-32277,0,0,0,0,0,6688,0
6693,914,-8154,-386,26,-82,-77,2493,15,6,-36,0,19856,76,40,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6693,0
6698,942,-8138,-392,30,-77,-88,2499,23,10,-53,0,19854,78,39,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6698,0
6703,1036,-8138,-386,32,-69,-96,2509,44,25,-81,0,19854,78,39,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6703,0
6708,958,-8230,-416,27,-41,-99,2522,61,36,-111,0,19853,81,39,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6708,0
6713,820,-8216,-414,22,-15,-87,2531,40,31,-102,0,19853,81,39,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6713,0
6718,702,-8260,-404,28,6,-57,2535,18,7,-52,0,19854,79,40,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6718,0
6723,572,-8220,-404,24,36,-35,2535,-2,-21,-11,0,19854,79,40,144,0,0,0,0,0,0,0,0,-32276,0,0,0,0,0,6723,0
