state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,temperature
703.782,0.00499606,0.020751953,1.002685547,-0.073730469,-2.442748092,0.366412214,1.282442748,30607,3,65,-0.439941406,18.37557878,0.142499265,FALSE,,FALSE,,20779,,35
703.787,0.009997952,0.017822266,1.000244141,-0.075195313,-2.41221374,0.580152672,1.374045802,30607,-3,63,-0.439941406,16.54646169,0.138114673,FALSE,,FALSE,,20779,,36
703.792,0.014999049,0.018798828,1.003173828,-0.076904297,-2.534351145,0.183206107,1.282442748,30608,3,-357,-0.41796875,14.12525758,-0.782608828,FALSE,,FALSE,,20794,,36
703.797,0.020001683,-0.262695313,1.198730469,-0.2578125,-7.389312977,6.870229008,22.5648855,30278,-1838,-7988,-0.41796875,11.6141977,-17.51114655,FALSE,,FALSE,,20794,,36
703.802,0.025002946,-0.607421875,0.623535156,-0.156982422,-6.93129771,11.05343511,-10.01526718,29449,-3780,-3941,-0.505859375,8.805945945,-8.641197638,FALSE,,FALSE,,20732,,36
703.807,0.030004857,0.201171875,0.9765625,-0.076416016,-0.702290076,-38.32061069,-6.93129771,28525,-4078,-471,-0.571777344,5.326630481,-1.032896137,FALSE,,FALSE,,20686,,35
703.812,0.03500638,0.614013672,0.747314453,-0.13671875,-4.061068702,10.83969466,2.748091603,27600,-4066,-75,-0.483886719,2.137717623,-0.164439452,FALSE,,FALSE,,20748,,35
703.817,0.040008902,0.201904297,0.998535156,-0.013671875,-1.06870229,21.89312977,-4.488549618,26692,-3978,47,-0.549804688,0.097287154,0.103064916,FALSE,,FALSE,,20701,,35
703.822,0.04501048,0.254638672,1.073486328,0.077392578,-1.099236641,16.67175573,-3.969465649,25807,-3883,191,-0.59375,-1.57218939,0.418882158,FALSE,,FALSE,,20670,,35
703.827,0.05001317,0.169189453,0.951416016,0.055908203,-1.34351145,15.02290076,-4.641221374,24953,-3744,293,-0.637695313,-3.310924121,0.642645716,FALSE,,FALSE,,20639,,36
703.832,0.055014933,0.237060547,0.995361328,-0.039550781,0.732824427,26.7480916,-9.34351145,24140,-3544,355,-0.747558594,-5.13091307,0.778836177,FALSE,,FALSE,,20562,,36
703.837,0.060017529,0.033691406,1.005859375,-0.092285156,2.748091603,27.75572519,-9.648854962,23385,-3295,398,-0.857421875,-7.386350389,0.873402883,FALSE,,FALSE,,20484,,35
703.842,0.065019237,-0.139404297,1.018798828,-0.163818359,6.41221374,15.35877863,-11.63358779,22684,-3061,407,-0.857421875,-9.563362146,0.893153199,FALSE,,FALSE,,20484,,35
703.847,0.070021815,-0.197265625,1.047851563,-0.142578125,3.755725191,13.98473282,-11.20610687,22031,-2854,401,-0.967285156,-11.07390377,0.880216942,FALSE,,FALSE,,20406,,35
703.852,0.07502356,-0.344238281,1.005615234,-0.1640625,-4.488549618,-2.13740458,-3.20610687,21416,-2687,413,-0.989257813,-12.12391368,0.906605114,FALSE,,FALSE,,20391,,35
703.857,0.080025953,-0.250732422,1.007324219,-0.191162109,-3.816793893,-4.091603053,-1.740458015,20838,-2526,425,-1.011230469,-12.52943902,0.932996051,FALSE,,FALSE,,20375,,35
703.862,0.085028031,-0.080810547,1.052734375,-0.159423828,-4,-5.923664122,1.58778626,20300,-2349,392,-1.033203125,-12.13601801,0.860596759,FALSE,,FALSE,,20360,,35
703.867,0.090030553,0.009765625,1.004394531,-0.120117188,-3.633587786,-3.847328244,2.564885496,19806,-2153,611,-1.011230469,-11.08528245,1.341319029,FALSE,,FALSE,,20375,,35
703.872,0.095032113,0.635498047,0.830810547,0.021484375,-2.65648855,3.511450382,-15.17557252,19613,-534,5351,-1.055175781,-9.609129439,11.74820061,FALSE,,FALSE,,20344,,35
703.877,0.100034099,0.191894531,1.331787109,0.020751953,-5.58778626,1.58778626,10.96183206,19749,616,1907,-1.099121094,-8.331746687,4.187285998,FALSE,,FALSE,,20313,,36
703.882,0.105035158,-0.429199219,0.864501953,-0.105224609,-2.992366412,4.977099237,-2.106870229,19910,716,347,-1.033203125,-7.107948169,0.761803763,FALSE,,FALSE,,20360,,36
703.887,0.110037644,-0.246337891,0.905029297,-0.087402344,-1.34351145,-1.160305344,-5.740458015,20077,735,181,-1.12109375,-5.752057022,0.397450705,FALSE,,FALSE,,20297,,35
703.892,0.115038981,-0.048095703,0.892333984,-0.130615234,-2.961832061,-1.740458015,2.473282443,20242,725,121,-1.099121094,-4.773399403,0.265685163,FALSE,,FALSE,,20313,,35
703.897,0.120040689,0.005859375,1.087402344,-0.053710938,-3.175572519,-2.442748092,1.038167939,20401,700,96,-1.099121094,-3.938786089,0.210791534,FALSE,,FALSE,,20313,,35
703.902,0.125042767,0.084960938,0.921142578,-0.077148438,-3.572519084,-1.34351145,2.473282443,20549,643,-18,-1.099121094,-2.998832255,-0.039523413,FALSE,,FALSE,,20313,,35
703.907,0.130044641,0.016113281,1.062255859,-0.035644531,-2.870229008,-0.549618321,1.374045802,20679,548,-240,-1.055175781,-1.978570885,-0.526923593,FALSE,,FALSE,,20344,,35
703.912,0.135046589,-0.001464844,1.026855469,-0.053955078,-2.961832061,-0.061068702,1.86259542,20756,317,-715,-1.055175781,-0.812251326,-1.569793204,FALSE,,FALSE,,20344,,35
703.917,0.140048112,-0.027099609,0.980224609,-0.0703125,-2.717557252,-0.213740458,1.893129771,20762,-11,-833,-1.055175781,0.177534433,-1.82886397,FALSE,,FALSE,,20344,,36
703.922,0.145050209,0.017089844,1.000732422,-0.059082031,-2.717557252,0.213740458,1.129770992,20724,-178,-529,-1.077148438,0.709816119,-1.161488299,FALSE,,FALSE,,20329,,36
703.927,0.150052527,0.039550781,0.998779297,-0.059082031,-2.748091603,0.091603053,2.564885496,20663,-278,-394,-1.055175781,0.905916833,-0.865032898,FALSE,,FALSE,,20344,,35
703.932,0.155053365,0.013671875,0.991210938,-0.051757813,-1.954198473,0.061068702,2.13740458,20582,-358,-277,-1.055175781,1.047167869,-0.608157647,FALSE,,FALSE,,20344,,35
703.937,0.160055795,0.003417969,1.001708984,-0.055908203,-1.832061069,0.519083969,2.320610687,20496,-391,-161,-1.055175781,1.141893796,-0.35347791,FALSE,,FALSE,,20344,,35
703.942,0.165057299,0.010253906,0.992431641,-0.057373047,-1.557251908,0.396946565,2.229007634,20412,-368,-35,-1.077148438,1.022657155,-0.076847052,FALSE,,FALSE,,20329,,35
703.947,0.170058803,0.012939453,0.994384766,-0.058837891,-1.404580153,0.519083969,2.595419847,20342,-305,129,-1.055175781,0.775773984,0.283221431,FALSE,,FALSE,,20344,,35
703.952,0.175060825,0.0078125,1.002197266,-0.075927734,-1.526717557,0.519083969,2.870229008,20301,-177,270,-1.033203125,0.731628428,0.592757971,FALSE,,FALSE,,20360,,35
703.957,0.180062663,0.003417969,1.000976563,-0.084228516,-1.557251908,0.519083969,2.961832061,20285,-56,226,-1.055175781,0.821055318,0.496186383,FALSE,,FALSE,,20344,,36
703.962,0.18506413,-0.004150391,1.003417969,-0.086669922,-1.496183206,0.213740458,3.419847328,20298,66,188,-1.033203125,0.812451175,0.41273518,FALSE,,FALSE,,20360,,36
