state_time,loop_time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,motor_angle,motor_velocity,motor_current,hip_angle,hip_velocity,hip_torque_from_current,did_heel_strike,gait_phase,did_toe_off,commanded_current,commanded_position,commanded_torque,commanded_voltage,temperature
4403.634,0.00496144099997764,0.936279296875,0.2861328125,-0.027099609375,-7.8473282442748085,-4.458015267175572,-2.259541984732824,5557,-124,236,8.19493022787345,0.705086518372869,0.25488,False,,False,0,,0,,35
4403.639,0.009962492999875394,0.95947265625,0.2900390625,-0.0244140625,-7.694656488549618,-5.251908396946565,-2.778625954198473,5527,-138,246,8.2690879427172,-87.02608725437436,0.26568,False,,False,0,,0,,35
4403.644,0.014960636999603594,0.951416015625,0.279296875,-0.02978515625,-10.80916030534351,-5.343511450381679,-2.5343511450381677,5494,-143,289,8.350661429045324,-399.5467464281727,0.31212,False,,False,0,,0,,35
4403.649,0.019962114000009024,0.944580078125,0.33642578125,-0.0244140625,-11.572519083969466,-6.564885496183206,-5.709923664122138,5456,-169,142,8.444594534514074,-918.9201390552271,0.15336,False,,False,0,,0,,35
4403.654,0.024963257999843336,0.907470703125,0.318359375,-0.033447265625,-15.236641221374045,-5.801526717557252,-5.587786259541985,5409,-209,-1,8.56077495443595,-1529.0173515806248,-0.00108,False,,False,0,,0,,35
4403.659,0.02996543999961432,0.94384765625,0.36083984375,-0.02490234375,-17.435114503816795,-8.335877862595419,-8.702290076335878,5350,-250,-2,8.706618460295324,-2147.941692307582,-0.00216,False,,False,0,,0,,35
4403.664,0.034966712999448646,0.921875,0.369384765625,-0.034423828125,-19.297709923664122,-8.0,-9.679389312977099,5287,-285,-7,8.8623496614672,-2722.4396204643695,-0.007560000000000001,False,,False,0,,0,,35
4403.669,0.03996856100002333,0.92236328125,0.387939453125,-0.040771484375,-18.99236641221374,-7.755725190839694,-11.083969465648854,5219,-299,-1,9.0304404817797,-3222.044970195332,-0.00108,False,,False,0,,0,,35
4403.674,0.044969261000005645,0.908935546875,0.37548828125,-0.04150390625,-18.900763358778626,-7.358778625954198,-11.389312977099236,5150,-302,-6,9.201003225920324,-3633.3338883922897,-0.0064800000000000005,False,,False,0,,0,,35
4403.679,0.049972219999290246,0.912353515625,0.34033203125,-0.031494140625,-18.045801526717558,-6.778625954198473,-11.572519083969466,5081,-300,-3,9.37156597006095,-3954.8711622326846,-0.0032400000000000003,False,,False,0,,0,,35
4403.684,0.054972252999505145,0.913330078125,0.30224609375,-0.02587890625,-18.62595419847328,-6.99236641221374,-11.297709923664122,5010,-306,-3,9.547072561857824,-4192.9860917396445,-0.0032400000000000003,False,,False,0,,0,,35
4403.689,0.05997397099963564,0.948486328125,0.290771484375,-0.014892578125,-16.458015267175572,-7.0534351145038165,-10.106870229007633,4950,-262,-9,9.695387991545324,-4358.53887806749,-0.00972,False,,False,0,,0,,35
4403.694,0.0649746339995545,0.958251953125,0.286865234375,-0.01904296875,-15.17557251908397,-6.931297709923664,-9.801526717557252,4895,-230,0,9.8313438020922,-4464.502616500105,0.0,False,,False,0,,0,,35
4403.6990000000005,0.06997598199995991,0.96875,0.24853515625,-0.027587890625,-13.49618320610687,-5.709923664122138,-8.793893129770993,4848,-201,6,9.947524222014074,-4524.024331821096,0.0064800000000000005,False,,False,0,,0,,35
4403.704,0.07497677399987879,1.0107421875,0.2431640625,-0.019287109375,-13.618320610687022,-6.137404580152672,-7.114503816793893,4813,-157,6,10.03404155599845,-4549.306452762949,0.0064800000000000005,False,,False,0,,0,,35
